Subject,Block_number,Trial_number,Abs_ref_stim,Resp_Correct,RT,out,angle,same
103,4,78,1,t,909,nil,0,nil
103,4,79,8,t,1696,nil,100,nil
103,4,80,14,t,1982,nil,50,t
103,4,81,2,t,1509,nil,100,t
103,4,82,4,t,652,nil,0,t
103,4,83,3,t,432,nil,0,t
103,4,84,2,t,638,nil,0,nil
103,4,85,10,t,795,nil,0,t
103,4,86,15,t,1707,nil,50,t
103,4,87,13,t,1450,nil,150,t
103,4,88,12,t,966,nil,150,t
103,4,89,3,t,1250,nil,50,t
103,4,90,11,t,1481,nil,0,nil
103,4,91,10,t,834,nil,0,nil
103,4,92,6,t,2019,nil,150,t
103,4,93,14,t,2230,nil,150,nil
103,4,94,16,t,1453,nil,50,nil
103,4,95,5,t,1207,nil,50,nil
103,4,96,8,t,992,nil,50,nil
103,4,97,4,t,657,nil,0,nil
103,4,98,7,t,1237,nil,100,nil
103,4,99,13,t,1660,nil,100,t
103,4,100,7,t,1617,nil,150,t
103,4,101,14,t,978,nil,100,nil
103,4,102,12,t,929,nil,100,t
103,4,103,3,t,1613,nil,150,t
103,4,104,13,t,945,nil,50,t
103,4,105,9,t,1103,nil,150,nil
103,4,106,12,t,2094,nil,100,nil
103,4,107,13,t,846,nil,0,nil
103,4,108,7,t,1565,nil,150,nil
103,4,109,7,t,896,nil,50,nil
103,4,110,2,t,911,nil,150,nil
103,4,111,16,t,1521,nil,50,t
103,4,112,14,t,801,nil,50,nil
103,4,113,13,t,976,nil,100,nil
103,4,114,1,nil,1279,t,150,t
103,4,115,6,t,3130,nil,150,nil
103,4,116,7,t,892,nil,50,t
103,4,117,12,t,777,nil,50,nil
103,4,118,4,t,1388,nil,100,nil
103,4,119,8,t,802,nil,0,t
103,4,120,15,t,1804,nil,50,nil
103,4,121,7,t,1005,nil,0,nil
103,4,122,9,t,1306,nil,50,t
103,4,123,5,t,1576,nil,100,t
103,4,124,8,t,985,nil,0,nil
103,4,125,6,t,1045,nil,0,nil
103,4,126,2,t,3770,nil,100,nil
103,4,127,11,t,2311,nil,150,t
103,4,128,15,t,1612,nil,100,t
103,5,1,7,t,2127,nil,100,t
103,5,2,15,t,1051,nil,50,nil
103,5,3,16,t,1461,nil,50,nil
103,5,4,16,t,2197,nil,150,nil
103,5,5,13,t,893,nil,50,t
103,5,6,15,t,1686,nil,100,nil
103,5,7,9,t,882,nil,50,nil
103,5,8,11,t,624,nil,0,nil
103,5,9,11,t,3488,nil,100,nil
103,5,10,9,t,1436,nil,50,t
103,5,11,12,t,852,nil,100,nil
103,5,12,10,t,1586,nil,150,t
103,5,13,16,t,699,nil,0,t
103,5,14,4,t,1035,nil,100,nil
103,5,15,12,t,1503,nil,150,t
103,5,16,1,t,1231,nil,100,t
103,5,17,15,t,917,nil,0,t
103,5,18,1,t,1178,nil,50,nil
103,5,19,12,t,872,nil,50,nil
103,5,20,9,t,1461,nil,150,t
103,5,21,4,t,998,nil,150,nil
103,5,22,7,t,635,nil,0,nil
103,5,23,11,t,1030,nil,50,t
103,5,24,2,t,1096,nil,50,nil
103,5,25,6,t,2120,nil,50,t
103,5,26,10,t,1543,nil,100,t
103,5,27,1,t,1839,nil,100,nil
103,5,28,12,t,969,nil,100,t
103,5,29,4,t,575,nil,0,t
103,5,30,15,t,1503,nil,0,nil
103,5,31,5,t,1563,nil,100,t
103,5,32,14,t,490,nil,0,t
103,5,33,9,t,493,nil,0,t
103,5,34,7,t,941,nil,150,t
103,5,35,2,t,1137,nil,100,t
103,5,36,8,t,742,nil,0,nil
103,5,37,8,t,1911,nil,100,t
103,5,38,2,t,957,nil,0,t
103,5,39,12,t,1298,nil,150,nil
103,5,40,4,t,679,nil,0,nil
103,5,41,4,t,1604,nil,100,t
103,5,42,13,t,1346,nil,100,nil
103,5,43,2,t,2563,nil,150,t
103,5,44,6,t,6745,t,100,nil
103,5,45,16,t,2457,nil,100,t
103,5,46,14,t,1424,nil,100,t
103,5,47,13,t,487,nil,0,t
103,5,48,7,t,1034,nil,150,nil
103,5,49,16,t,1307,nil,50,t
103,5,50,5,t,674,nil,0,nil
103,5,51,3,t,2043,nil,50,t
103,5,52,10,t,1518,nil,150,nil
103,5,53,8,t,969,nil,0,t
103,5,54,4,t,809,nil,50,t
103,5,55,8,t,1675,nil,50,nil
103,5,56,3,t,2160,nil,150,nil
103,5,57,10,t,2160,nil,50,t
103,5,58,5,t,3563,nil,150,nil
103,5,59,5,t,1808,nil,50,t
103,5,60,8,t,1669,nil,150,nil
103,5,61,6,t,753,nil,0,nil
103,5,62,12,t,1186,nil,50,t
103,5,63,14,t,2585,nil,100,nil
103,5,64,8,t,2340,nil,50,t
103,5,65,5,t,788,nil,50,nil
103,5,66,9,t,1269,nil,100,t
103,5,67,14,t,1349,nil,150,t
103,5,68,3,t,614,nil,0,nil
103,5,69,6,t,1211,nil,0,t
103,5,70,14,t,1495,nil,50,t
103,5,71,3,t,1433,nil,100,nil
103,5,72,10,t,1017,nil,100,nil
103,5,73,7,t,739,nil,50,nil
103,5,74,10,t,1193,nil,50,nil
103,5,75,6,t,980,nil,100,t
103,5,76,15,t,1846,nil,150,nil
103,5,77,13,t,1724,nil,50,nil
103,5,78,11,nil,423,t,0,t
103,5,79,16,t,1656,nil,0,nil
103,5,80,2,t,623,nil,0,nil
103,5,81,8,t,1868,nil,150,t
103,5,82,14,t,1813,nil,50,nil
103,5,83,4,t,1482,nil,150,t
103,5,84,10,t,817,nil,0,t
103,5,85,8,t,1552,nil,100,nil
103,5,86,13,t,1195,nil,100,t
103,5,87,7,t,1014,nil,100,nil
103,5,88,2,t,1815,nil,150,nil
103,5,89,16,t,2342,nil,150,t
103,5,90,14,t,1831,nil,150,nil
103,5,91,13,t,1544,nil,150,nil
103,5,92,9,t,6914,t,150,nil
103,5,93,3,t,1670,nil,150,t
103,5,94,2,t,2156,nil,100,nil
103,5,95,15,t,1676,nil,100,t
103,5,96,11,t,3851,nil,50,nil
103,5,97,5,t,2920,nil,100,nil
103,5,98,3,t,1355,nil,100,t
103,5,99,11,t,3484,nil,150,t
103,5,100,1,t,2922,nil,0,nil
103,5,101,9,t,1287,nil,100,nil
103,5,102,1,nil,5444,t,150,nil
103,5,103,13,t,895,nil,0,nil
103,5,104,7,t,718,nil,0,t
103,5,105,15,t,1764,nil,50,t
103,5,106,9,t,787,nil,0,nil
103,5,107,4,t,2272,nil,50,nil
103,5,108,16,t,1257,nil,100,nil
103,5,109,5,t,726,nil,0,t
103,5,110,5,t,1916,nil,150,t
103,5,111,7,t,1243,nil,50,t
103,5,112,12,t,585,nil,0,nil
103,5,113,1,t,1774,nil,50,t
103,5,114,10,t,683,nil,0,nil
103,5,115,13,t,1573,nil,150,t
103,5,116,6,t,2030,nil,150,t
103,5,117,2,t,2545,nil,50,t
103,5,118,11,t,744,nil,100,t
103,5,119,3,t,1644,nil,50,nil
103,5,120,6,t,1085,nil,150,nil
103,5,121,12,t,639,nil,0,t
103,5,122,3,t,716,nil,0,t
103,5,123,6,t,3220,nil,50,nil
103,5,124,15,t,1384,nil,150,t
103,5,125,11,t,1456,nil,150,nil
103,5,126,1,t,1939,nil,150,t
103,5,127,14,t,787,nil,0,nil
103,5,128,1,nil,934,t,0,t
103,6,1,7,nil,1387,t,150,t
103,6,2,12,t,1132,nil,100,t
103,6,3,16,t,1495,nil,100,nil
103,6,4,16,t,1937,nil,150,t
103,6,5,12,t,696,nil,0,t
103,6,6,7,t,963,nil,0,t
103,6,7,10,t,873,nil,0,t
103,6,8,10,t,1327,nil,100,t
103,6,9,7,t,1256,nil,50,nil
103,6,10,3,t,1498,nil,50,nil
103,6,11,11,t,1084,nil,150,nil
103,6,12,6,t,1423,nil,50,t
103,6,13,15,t,1146,nil,0,t
103,6,14,12,t,873,nil,100,nil
103,6,15,3,t,1334,nil,100,nil
103,6,16,12,t,1010,nil,0,nil
103,6,17,13,t,1166,nil,0,nil
103,6,18,6,t,2817,nil,150,t
103,6,19,5,t,3596,nil,150,nil
103,6,20,4,t,1619,nil,50,t
103,6,21,2,t,1312,nil,150,t
103,6,22,11,t,729,nil,0,t
103,6,23,1,t,1459,nil,50,t
103,6,24,8,t,3666,nil,150,nil
103,6,25,4,t,851,nil,0,nil
103,6,26,14,t,1933,nil,100,nil
103,6,27,3,t,977,nil,0,t
103,6,28,9,t,724,nil,0,t
103,6,29,2,t,1342,nil,50,nil
103,6,30,15,t,1462,nil,100,nil
103,6,31,8,t,3144,nil,50,t
103,6,32,9,t,2014,nil,150,t
103,6,33,6,t,687,nil,0,nil
103,6,34,13,t,1177,nil,150,t
103,6,35,2,t,723,nil,0,nil
103,6,36,6,t,1548,nil,100,nil
103,6,37,2,t,1397,nil,50,t
